ClockTime(s)_UtilizationValuesFrom:	Vision_Module	Audio_Module	Perceptual_SubNetwork	Production_Module	Declarative_Module	Imaginary_Module	Cognitive_SubNetwork	Motor_Module	Speech_Module	Motor_SubNetwork	Overall_Utilization
0.5	0.16999999999999996	0.0	0.08499999999999998	0.34999999999999987	0.0	0.5650000000000002	0.305	0.0	0.0	0.0	0.12999999999999998
1.5	0.16999999999999993	0.0	0.08499999999999996	0.40000000000000013	0.0	0.5149999999999999	0.305	0.0	0.0	0.0	0.12999999999999998
2.5	0.1299999999999999	0.0	0.06499999999999995	0.3949999999999996	0.0	0.5200000000000005	0.305	0.0	0.0	0.0	0.12333333333333331
3.5	0.125	0.0	0.0625	0.3150000000000004	0.0	0.5999999999999996	0.305	0.0	0.0	0.0	0.1225
4.5	0.16999999999999993	0.0	0.08499999999999996	0.33999999999999986	0.0	0.5750000000000002	0.305	0.0	0.0	0.0	0.12999999999999998
5.5	0.16999999999999993	0.33999999999999986	0.2549999999999999	0.4499999999999993	0.0	0.5150000000000006	0.3216666666666666	0.0	0.0	0.0	0.19222222222222216
6.5	0.0	0.11000000000000032	0.05500000000000016	0.09999999999999964	0.5899999999999999	0.3100000000000005	0.3333333333333333	0.0	0.0	0.0	0.1294444444444445
7.5	0.0	0.13999999999999968	0.06999999999999984	0.14999999999999947	0.41000000000000014	0.20000000000000018	0.25333333333333324	0.0	0.0	0.0	0.1077777777777777
8.5	0.0	0.7099999999999991	0.35499999999999954	0.10000000000000142	0.1899999999999995	0.0	0.09666666666666697	0.0	0.0	0.0	0.1505555555555555
9.5	0.0	0.0	0.0	0.15000000000000036	0.8100000000000005	0.0	0.3200000000000003	0.0	0.0	0.0	0.10666666666666676
10.5	0.0	0.8399999999999999	0.41999999999999993	0.05000000000000071	0.0	0.0	0.016666666666666902	0.0	0.0	0.0	0.1455555555555556
11.5	0.0	0.0600000000000005	0.03000000000000025	0.049999999999998934	0.8900000000000006	0.0	0.3133333333333332	0.0	0.0	0.0	0.11444444444444447
12.5	0.0	0.3000000000000007	0.15000000000000036	0.20000000000000107	0.8999999999999986	0.0	0.36666666666666653	0.0	0.0	0.0	0.17222222222222228
13.5	0.0	0.7400000000000002	0.3700000000000001	0.049999999999998934	0.21000000000000085	0.0	0.0866666666666666	0.0	0.0	0.0	0.15222222222222223
14.5	0.0	0.3600000000000012	0.1800000000000006	0.049999999999998934	0.8900000000000006	0.0	0.3133333333333332	0.0	0.0	0.0	0.1644444444444446
