agent;date;id;igs_timestamp;record_id;source;time;type;value
Cognitive_Model;2026-02-05;9139b300-0246-11f1-8f29-9533d9ce85de;;10ed39d0-0244-11f1-8f29-9533d9ce85de;start;03:55:53.264275000;4;b'\x01'
TARS Agent;2026-02-05;913d3570-0246-11f1-8f29-9533d9ce85de;;10ed39d0-0244-11f1-8f29-9533d9ce85de;request_takeoff_clearance;03:55:53.287202000;5;
TARS Agent;2026-02-05;913d3571-0246-11f1-8f29-9533d9ce85de;;10ed39d0-0244-11f1-8f29-9533d9ce85de;action_time;03:55:53.287560000;3;b'transition_action:0.23'
TARS Agent;2026-02-05;913df8c0-0246-11f1-8f29-9533d9ce85de;;10ed39d0-0244-11f1-8f29-9533d9ce85de;current_state;03:55:53.292494000;3;"b'{""procedure"": ""BEFORE TAKEOFF"", ""classification"": ""NORM"", ""type"": ""Checklist"", ""category"": ""Switch / Lever"", ""task_object"": ""Takeoff clearance"", ""value"": ""CONFIRM"", ""human_role"": ""supporter"", ""autonomy_role"": ""performer"", ""information_requirement"": ""ATC clearance status, checklist completion status."", ""interaction"": """", ""delay_before_action"": 3.0, ""delay_after_action"": 0.0, ""callout"": ""Cessna Charlie Papa Oscar Lima Yankee cleared for takeoff, will maintain runway heading, climb to 5000ft proceed direct AGMEB then OMEKI"", ""condition"": null, ""condition_type"": null, ""condition_function"": null, ""monitor_scope"": null}'"
ATC_Agent;2026-02-05;913e46e0-0246-11f1-8f29-9533d9ce85de;;10ed39d0-0244-11f1-8f29-9533d9ce85de;speech_output;03:55:53.294681000;3;b'C-POLY, Montreal-Tower, wind-0-9-0-at-4, cleared-for-takeoff runway-zero-six-left. Climb-to-5000ft.'
Cognitive_Model;2026-02-05;913e46e1-0246-11f1-8f29-9533d9ce85de;;10ed39d0-0244-11f1-8f29-9533d9ce85de;production_selected;03:55:53.294746000;3;b'get-where-should-i-look-next'
TARS Agent;2026-02-05;913e46e2-0246-11f1-8f29-9533d9ce85de;;10ed39d0-0244-11f1-8f29-9533d9ce85de;current_procedure;03:55:53.294804000;3;b'BEFORE TAKEOFF'
ATC_Agent;2026-02-05;913e46e3-0246-11f1-8f29-9533d9ce85de;;10ed39d0-0244-11f1-8f29-9533d9ce85de;is_speaking;03:55:53.294832000;4;b'\x01'
TARS Agent;2026-02-05;913e46e4-0246-11f1-8f29-9533d9ce85de;;10ed39d0-0244-11f1-8f29-9533d9ce85de;interaction_message;03:55:53.294867000;3;b''
TARS Agent;2026-02-05;913e46e5-0246-11f1-8f29-9533d9ce85de;;10ed39d0-0244-11f1-8f29-9533d9ce85de;current_task_object;03:55:53.294895000;3;b'Takeoff clearance'
TARS Agent;2026-02-05;913e46e6-0246-11f1-8f29-9533d9ce85de;;10ed39d0-0244-11f1-8f29-9533d9ce85de;current_task_value;03:55:53.294928000;3;b'CONFIRM'
TARS Agent;2026-02-05;913e46e7-0246-11f1-8f29-9533d9ce85de;;10ed39d0-0244-11f1-8f29-9533d9ce85de;current_task_autonomy_role;03:55:53.294960000;3;b'performer'
TARS Agent;2026-02-05;913e46e8-0246-11f1-8f29-9533d9ce85de;;10ed39d0-0244-11f1-8f29-9533d9ce85de;current_task_human_role;03:55:53.294992000;3;b'supporter'
TARS Agent;2026-02-05;913e6df0-0246-11f1-8f29-9533d9ce85de;;10ed39d0-0244-11f1-8f29-9533d9ce85de;next_state;03:55:53.295051000;3;"b'{""procedure"": ""BEFORE TAKEOFF"", ""classification"": ""NORM"", ""type"": ""Checklist"", ""category"": ""Switch / Lever"", ""task_object"": ""Pitot-Static Switch"", ""value"": ""PITOT-STATIC"", ""human_role"": ""supporter"", ""autonomy_role"": ""performer"", ""information_requirement"": ""Pitot-static switch status"", ""interaction"": ""pitot_static_switch"", ""delay_before_action"": 0.0, ""delay_after_action"": 8.0, ""callout"": """", ""condition"": null, ""condition_type"": null, ""condition_function"": null, ""monitor_scope"": null}'"
TARS Agent;2026-02-05;913e6df1-0246-11f1-8f29-9533d9ce85de;;10ed39d0-0244-11f1-8f29-9533d9ce85de;countdown_current;03:55:53.295103000;1;b'\x03\x00\x00\x00'
