0.185	visual-location77	2020	1330	oval33	"L_THROTTLE"	12
0.87	visual-location79	2170	1340	oval34	"R_THROTTLE"	12
1.22	visual-location31	1260	750	text16	"PITCH"	7
1.905	visual-location32	1200	750	text17	"ROLL"	6
2.255	visual-location30	1260	690	text15	"SLIP"	6
2.605	visual-location38	1350	750	text23	"ALT"	5
2.955	visual-location33	1170	750	text18	"KIAS"	6
3.305	visual-location31	1260	750	text16	"PITCH"	7
3.99	visual-location32	1200	750	text17	"ROLL"	6
4.34	visual-location30	1260	690	text15	"SLIP"	6
4.69	visual-location38	1350	750	text23	"ALT"	5
5.04	visual-location33	1170	750	text18	"KIAS"	6
5.39	visual-location85	1600	920	text49	"CAS"	5
6.075	visual-location83	1600	760	text47	"N1%"	5
6.425	visual-location84	1630	760	text48	"N2%"	5
6.775	visual-location85	1600	920	text49	"CAS"	5
7.46	visual-location83	1600	760	text47	"N1%"	5
7.81	visual-location84	1630	760	text48	"N2%"	5
8.16	visual-location85	1600	920	text49	"CAS"	5
8.845	visual-location83	1600	760	text47	"N1%"	5
24.079	visual-location104	770	990	text68	"HUMAN_ROLE"	12
24.264	visual-location101	320	990	text65	"AUTONOMY_ROLE"	15
24.464	visual-location111	440	1250	text73	"TARS_INPUT"	12
24.664	visual-location85	1600	920	text49	"CAS"	5
25.349	visual-location83	1600	760	text47	"N1%"	5
25.699	visual-location84	1630	760	text48	"N2%"	5
26.049	visual-location102	350	990	text66	"CURRENT_TASK_OBJECT"	21
26.734	visual-location103	350	1010	text67	"CURRENT_TASK_VALUE"	20
27.234	visual-location31	1260	750	text16	"PITCH"	7
35.119	visual-location32	1200	750	text17	"ROLL"	6
35.469	visual-location30	1260	690	text15	"SLIP"	6
35.819	visual-location38	1350	750	text23	"ALT"	5
36.169	visual-location33	1170	750	text18	"KIAS"	6
36.519	visual-location31	1260	750	text16	"PITCH"	7
37.204	visual-location32	1200	750	text17	"ROLL"	6
37.554	visual-location30	1260	690	text15	"SLIP"	6
37.904	visual-location38	1350	750	text23	"ALT"	5
39.504	visual-location32	1200	750	text17	"ROLL"	6
39.854	visual-location30	1260	690	text15	"SLIP"	6
40.204	visual-location38	1350	750	text23	"ALT"	5
40.554	visual-location33	1170	750	text18	"KIAS"	6
40.904	visual-location102	350	990	text66	"CURRENT_TASK_OBJECT"	21
41.589	visual-location103	350	1010	text67	"CURRENT_TASK_VALUE"	20
42.089	visual-location104	770	990	text68	"HUMAN_ROLE"	12
42.274	visual-location101	320	990	text65	"AUTONOMY_ROLE"	15
42.474	visual-location111	440	1250	text73	"TARS_INPUT"	12
42.674	visual-location29	1480	1260	text14	"PITOT-STATIC"	14
44.224	visual-location102	350	990	text66	"CURRENT_TASK_OBJECT"	21
44.574	visual-location103	350	1010	text67	"CURRENT_TASK_VALUE"	20
45.174	visual-location31	1260	750	text16	"PITCH"	7
45.859	visual-location32	1200	750	text17	"ROLL"	6
46.209	visual-location30	1260	690	text15	"SLIP"	6
46.559	visual-location38	1350	750	text23	"ALT"	5
46.909	visual-location33	1170	750	text18	"KIAS"	6
47.259	visual-location85	1600	920	text49	"CAS"	5
47.944	visual-location83	1600	760	text47	"N1%"	5
48.294	visual-location84	1630	760	text48	"N2%"	5
48.644	visual-location102	350	990	text66	"CURRENT_TASK_OBJECT"	21
49.329	visual-location103	350	1010	text67	"CURRENT_TASK_VALUE"	20
49.829	visual-location104	770	990	text68	"HUMAN_ROLE"	12
50.014	visual-location101	320	990	text65	"AUTONOMY_ROLE"	15
50.214	visual-location111	440	1250	text73	"TARS_INPUT"	12
50.414	visual-location95	500	420	text59	"LEFT-SIDE-OTW"	15
50.764	visual-location9	1390	1170	text4	"L_EAI"	7
51.164	visual-location10	1430	1170	oval5	"R_EAI"	7
53.414	visual-location102	350	990	text66	"CURRENT_TASK_OBJECT"	21
53.764	visual-location103	350	1010	text67	"CURRENT_TASK_VALUE"	20
54.664	visual-location31	1260	750	text16	"PITCH"	7
55.349	visual-location32	1200	750	text17	"ROLL"	6
55.699	visual-location30	1260	690	text15	"SLIP"	6
56.049	visual-location38	1350	750	text23	"ALT"	5
56.399	visual-location33	1170	750	text18	"KIAS"	6
56.749	visual-location85	1600	920	text49	"CAS"	5
57.434	visual-location83	1600	760	text47	"N1%"	5
57.784	visual-location84	1630	760	text48	"N2%"	5
