ClockTime(s)_UtilizationValuesFrom:	Vision_Module	Audio_Module	Perceptual_SubNetwork	Production_Module	Declarative_Module	Imaginary_Module	Cognitive_SubNetwork	Motor_Module	Speech_Module	Motor_SubNetwork	Overall_Utilization
0.5	0.16999999999999996	0.0	0.08499999999999998	0.34999999999999987	0.0	0.5650000000000002	0.305	0.0	0.0	0.0	0.12999999999999998
1.5	0.16999999999999993	0.0	0.08499999999999996	0.40000000000000013	0.0	0.5149999999999999	0.305	0.0	0.0	0.0	0.12999999999999998
2.5	0.1299999999999999	0.0	0.06499999999999995	0.3949999999999996	0.0	0.5200000000000005	0.305	0.0	0.0	0.0	0.12333333333333331
3.5	0.125	0.0	0.0625	0.3150000000000004	0.0	0.5999999999999996	0.305	0.0	0.0	0.0	0.1225
4.5	0.16999999999999993	0.0	0.08499999999999996	0.33999999999999986	0.0	0.5750000000000002	0.305	0.0	0.0	0.0	0.12999999999999998
5.5	0.16999999999999993	0.0	0.08499999999999996	0.4499999999999993	0.0	0.46500000000000075	0.305	0.0	0.0	0.0	0.12999999999999998
6.5	0.20999999999999996	0.0	0.10499999999999998	0.4399999999999995	0.0	0.5600000000000005	0.3333333333333333	0.0	0.0	0.0	0.1461111111111111
7.5	0.21499999999999986	0.0	0.10749999999999993	0.3150000000000004	0.0	0.5999999999999996	0.305	0.0	0.0	0.0	0.13749999999999998
8.5	0.08499999999999908	0.7050000000000001	0.3949999999999996	0.245000000000001	0.0	0.40000000000000036	0.21500000000000044	0.0	0.0	0.0	0.20333333333333334
9.5	0.08500000000000085	0.24499999999999922	0.16500000000000004	0.2699999999999996	0.0	0.40000000000000036	0.2233333333333333	0.0	0.0	0.0	0.12944444444444445
10.5	0.16999999999999993	0.4350000000000005	0.3025000000000002	0.379999999999999	0.0	0.5850000000000009	0.3216666666666666	0.0	0.0	0.0	0.20805555555555558
11.5	0.0	0.41499999999999915	0.20749999999999957	0.10000000000000142	0.28500000000000014	0.21499999999999986	0.20000000000000048	0.0	0.0	0.0	0.13583333333333336
12.5	0.08499999999999908	0.2550000000000008	0.16999999999999993	0.20000000000000107	0.7149999999999999	0.0	0.3050000000000003	0.0	0.0	0.0	0.1583333333333334
13.5	0.0	0.6449999999999996	0.3224999999999998	0.14999999999999858	0.005000000000000782	0.40000000000000036	0.18499999999999991	0.0	0.0	0.0	0.16916666666666658
14.5	0.0	0.005000000000000782	0.002500000000000391	0.005000000000000782	0.9949999999999992	0.0	0.3333333333333333	0.0	0.0	0.0	0.11194444444444457
