ClockTime(s)_UtilizationValuesFrom:	Vision_Module	Audio_Module	Perceptual_SubNetwork	Production_Module	Declarative_Module	Imaginary_Module	Cognitive_SubNetwork	Motor_Module	Speech_Module	Motor_SubNetwork	Overall_Utilization
0.5	0.16999999999999996	0.0	0.08499999999999998	0.34999999999999987	0.0	0.5650000000000002	0.305	0.0	0.0	0.0	0.12999999999999998
1.5	0.16999999999999993	0.0	0.08499999999999996	0.40000000000000013	0.0	0.5149999999999999	0.305	0.0	0.0	0.0	0.12999999999999998
2.5	0.1299999999999999	0.0	0.06499999999999995	0.3949999999999996	0.0	0.5200000000000005	0.305	0.0	0.0	0.0	0.12333333333333331
3.5	0.125	0.009999999999999787	0.0674999999999999	0.3150000000000004	0.0	0.5999999999999996	0.305	0.0	0.0	0.0	0.12416666666666663
4.5	0.08499999999999996	0.4400000000000004	0.2625000000000002	0.23999999999999932	0.20999999999999996	0.40000000000000036	0.2833333333333332	0.0	0.0	0.0	0.18194444444444446
5.5	0.0	0.0	0.0	0.04999999999999982	0.79	0.16000000000000014	0.3333333333333333	0.0	0.0	0.0	0.1111111111111111
6.5	0.0	0.71	0.355	0.14999999999999947	0.0	0.040000000000000036	0.06333333333333317	0.0	0.0	0.0	0.1394444444444444
7.5	0.0	0.13999999999999968	0.06999999999999984	0.05000000000000071	0.8099999999999996	0.0	0.2866666666666668	0.0	0.0	0.0	0.11888888888888888
8.5	0.0	0.4599999999999991	0.22999999999999954	0.20000000000000107	0.1899999999999995	0.0	0.1300000000000002	0.0	0.0	0.0	0.11999999999999993
9.5	0.0	0.4399999999999995	0.21999999999999975	0.05000000000000071	0.5099999999999998	0.0	0.18666666666666684	0.0	0.0	0.0	0.13555555555555554
10.5	0.0	0.2599999999999998	0.1299999999999999	0.1999999999999993	0.9000000000000004	0.0	0.36666666666666653	0.0	0.0	0.0	0.16555555555555548
11.5	0.0	0.3999999999999986	0.1999999999999993	0.05000000000000071	0.5899999999999999	0.0	0.2133333333333335	0.0	0.0	0.0	0.13777777777777758
12.5	0.0	0.4499999999999993	0.22499999999999964	0.05000000000000071	0.5099999999999998	0.0	0.18666666666666684	0.0	0.0	0.0	0.13722222222222216
13.5	0.0	0.75	0.375	0.049999999999998934	0.4900000000000002	0.0	0.17999999999999972	0.0	0.0	0.0	0.18499999999999991
14.5	0.0	0.39000000000000057	0.19500000000000028	0.049999999999998934	0.5600000000000005	0.0	0.20333333333333314	0.0	0.0	0.0	0.1327777777777778
