ClockTime(s)_UtilizationValuesFrom:	Vision_Module	Audio_Module	Perceptual_SubNetwork	Production_Module	Declarative_Module	Imaginary_Module	Cognitive_SubNetwork	Motor_Module	Speech_Module	Motor_SubNetwork	Overall_Utilization
0.5	0.16999999999999996	0.0	0.08499999999999998	0.34999999999999987	0.0	0.5650000000000002	0.305	0.0	0.0	0.0	0.12999999999999998
1.5	0.16999999999999993	0.0	0.08499999999999996	0.40000000000000013	0.0	0.5149999999999999	0.305	0.0	0.0	0.0	0.12999999999999998
2.5	0.1299999999999999	0.0	0.06499999999999995	0.3949999999999996	0.0	0.5200000000000005	0.305	0.0	0.0	0.0	0.12333333333333331
3.5	0.125	0.0	0.0625	0.3150000000000004	0.0	0.5999999999999996	0.305	0.0	0.0	0.0	0.1225
4.5	0.16999999999999993	0.0	0.08499999999999996	0.33999999999999986	0.0	0.5750000000000002	0.305	0.0	0.0	0.0	0.12999999999999998
5.5	0.16999999999999993	0.0	0.08499999999999996	0.4499999999999993	0.0	0.46500000000000075	0.305	0.0	0.0	0.0	0.12999999999999998
6.5	0.16999999999999993	0.3899999999999997	0.2799999999999998	0.34999999999999964	0.0	0.5600000000000005	0.3033333333333334	0.0	0.0	0.0	0.19444444444444442
7.5	0.0	0.05999999999999961	0.029999999999999805	0.10000000000000142	0.6399999999999997	0.1999999999999993	0.31333333333333346	0.0	0.0	0.0	0.11444444444444442
8.5	0.2550000000000008	0.0	0.1275000000000004	0.6050000000000004	0.35999999999999943	0.0	0.3216666666666666	0.0	0.0	0.0	0.14972222222222234
9.5	0.08499999999999908	0.8199999999999985	0.4524999999999988	0.19500000000000206	0.0	0.1999999999999993	0.13166666666666713	0.0	0.0	0.0	0.194722222222222
10.5	0.0	0.6799999999999997	0.33999999999999986	0.120000000000001	0.0	0.1999999999999993	0.10666666666666676	0.0	0.0	0.0	0.14888888888888888
11.5	0.08500000000000085	0.3000000000000007	0.19250000000000078	0.3299999999999965	0.0	0.5850000000000026	0.3049999999999997	0.0	0.0	0.0	0.1658333333333335
12.5	0.0	0.5999999999999996	0.2999999999999998	0.1850000000000005	0.0	0.21499999999999986	0.13333333333333344	0.0	0.0	0.0	0.1444444444444444
13.5	0.16999999999999815	0.0	0.08499999999999908	0.5649999999999977	0.0	0.40000000000000213	0.3216666666666666	0.0	0.0	0.0	0.13555555555555523
14.5	0.33999999999999986	0.3000000000000007	0.3200000000000003	0.75	0.0	0.25	0.3333333333333333	0.0	0.0	0.0	0.21777777777777785
