uuid;timestamp;agent;source;type;igs_timestamp;value
244499a0-fb01-11f0-811c-379d01a2fc14;1769482277.048;SNAPSHOT;SNAPSHOT_BEGIN;0;;
244499a1-fb01-11f0-811c-379d01a2fc14;1769482277.048;Aircraft;ENTERED;15;;DFE0233F9E71AC4DAC2D3CE9F865BDF1
244499a2-fb01-11f0-811c-379d01a2fc14;1769482277.048;ATC_Agent;ENTERED;15;;7CEE0AB5250CC34AA664E4BFBE2F68C7
244499a3-fb01-11f0-811c-379d01a2fc14;1769482277.048;Proxy;ENTERED;15;;1A96D83F1E298ACC0703EF968BD7ECA4
244499a4-fb01-11f0-811c-379d01a2fc14;1769482277.048;Shared Interface;ENTERED;15;;D00E8E233AD1DA4DB4855106E86FD556
244499a5-fb01-11f0-811c-379d01a2fc14;1769482277.048;TARS Agent;ENTERED;15;;FA82483E1F6249448D0E61A74918CF18
244499a6-fb01-11f0-811c-379d01a2fc14;1769482277.048;TTS_Agent;ENTERED;15;;53B802A582C73D4BBBD8B2A21D0DE587
244499a7-fb01-11f0-811c-379d01a2fc14;1769482277.048;Aircraft;DEFINITION;17;;"{
    ""definition"": {
        ""name"": ""Aircraft"",
        ""class"": ""Aircraft"",
        ""version"": ""1.0"",
        ""inputs"": [
            {
                ""name"": ""reset"",
                ""type"": ""IMPULSION""
            },
            {
                ""name"": ""elevator"",
                ""type"": ""DOUBLE""
            },
            {
                ""name"": ""rudder"",
                ""type"": ""DOUBLE""
            },
            {
                ""name"": ""aileron"",
                ""type"": ""DOUBLE""
            },
            {
                ""name"": ""throttle"",
                ""type"": ""DOUBLE""
            },
            {
                ""name"": ""flaps"",
                ""type"": ""DOUBLE""
            },
            {
                ""name"": ""gear"",
                ""type"": ""IMPULSION""
            },
            {
                ""name"": ""brake"",
                ""type"": ""IMPULSION""
            },
            {
                ""name"": ""l_throttle"",
                ""type"": ""DOUBLE""
            },
            {
                ""name"": ""r_throttle"",
                ""type"": ""DOUBLE""
            },
            {
                ""name"": ""pax_safety"",
                ""type"": ""INTEGER""
            },
            {
                ""name"": ""flight_director"",
                ""type"": ""IMPULSION""
            },
            {
                ""name"": ""speed_mode"",
                ""type"": ""IMPULSION""
            },
            {
                ""name"": ""alt_sel"",
                ""type"": ""INTEGER""
            },
            {
                ""name"": ""heading_mode"",
                ""type"": ""IMPULSION""
            },
            {
                ""name"": ""heading_sel"",
                ""type"": ""INTEGER""
            },
            {
                ""name"": ""autopilot_master"",
                ""type"": ""IMPULSION""
            },
            {
                ""name"": ""fuel_boost_l"",
                ""type"": ""INTEGER""
            },
            {
                ""name"": ""fuel_boost_r"",
                ""type"": ""INTEGER""
            },
            {
                ""name"": ""test_knob"",
                ""type"": ""INTEGER""
            },
            {
                ""name"": ""autopilot_heading_set"",
                ""type"": ""INTEGER""
            },
            {
                ""name"": ""yaw_damper"",
                ""type"": ""BOOL""
            },
            {
                ""name"": ""l_ign_switch"",
                ""type"": ""BOOL""
            },
            {
                ""name"": ""r_ign_switch"",
                ""type"": ""BOOL""
            },
            {
                ""name"": ""l_gen_switch"",
                ""type"": ""INTEGER""
            },
            {
                ""name"": ""r_gen_switch"",
                ""type"": ""INTEGER""
            },
            {
                ""name"": ""transfer_knob"",
                ""type"": ""INTEGER""
            },
            {
                ""name"": ""bird_strike"",
                ""type"": ""IMPULSION""
            },
            {
                ""name"": ""baro_setting"",
                ""type"": ""DOUBLE""
            },
            {
                ""name"": ""pitot_heat"",
                ""type"": ""BOOL""
            },
            {
                ""name"": ""l_engine_anti_ice"",
                ""type"": ""BOOL""
            },
            {
                ""name"": ""r_engine_anti_ice"",
                ""type"": ""BOOL""
            },
            {
                ""name"": ""l_windshield_anti_ice"",
                ""type"": ""BOOL""
            },
            {
                ""name"": ""r_windshield_anti_ice"",
                ""type"": ""BOOL""
            },
            {
                ""name"": ""exterior_lights"",
                ""type"": ""INTEGER""
            },
            {
                ""name"": ""anti_coll_lights"",
                ""type"": ""BOOL""
            },
            {
                ""name"": ""trim_rudder"",
                ""type"": ""DOUBLE""
            },
            {
                ""name"": ""l_bottle_arm"",
                ""type"": ""BOOL""
            },
            {
                ""name"": ""r_bottle_arm"",
                ""type"": ""BOOL""
            },
            {
                ""name"": ""yoke_hide"",
                ""type"": ""BOOL""
            }
        ],
        ""outputs"": [
            {
                ""name"": ""airspeed"",
                ""type"": ""DOUBLE""
            },
            {
                ""name"": ""pitch"",
                ""type"": ""DOUBLE""
            },
            {
                ""name"": ""controlPitch"",
                ""type"": ""DOUBLE""
            },
            {
                ""name"": ""roll"",
                ""type"": ""DOUBLE""
            },
            {
                ""name"": ""controlRoll"",
                ""type"": ""DOUBLE""
            },
            {
                ""name"": ""heading"",
                ""type"": ""DOUBLE""
            },
            {
                ""name"": ""controlYaw"",
                ""type"": ""DOUBLE""
            },
            {
                ""name"": ""verticalSpeed"",
                ""type"": ""DOUBLE""
            },
            {
                ""name"": ""altitude"",
                ""type"": ""DOUBLE""
            },
            {
                ""name"": ""latitude"",
                ""type"": ""DOUBLE""
            },
            {
                ""name"": ""longitude"",
                ""type"": ""DOUBLE""
            },
            {
                ""name"": ""controlThrottle"",
                ""type"": ""DOUBLE""
            },
            {
                ""name"": ""controlFlaps"",
                ""type"": ""DOUBLE""
            },
            {
                ""name"": ""controlGear"",
                ""type"": ""DOUBLE""
            },
            {
                ""name"": ""speedBrakes"",
                ""type"": ""DOUBLE""
            },
            {
                ""name"": ""outsideEvent"",
                ""type"": ""STRING""
            },
            {
                ""name"": ""parkBrake"",
                ""type"": ""BOOL""
            },
            {
                ""name"": ""l_throttle"",
                ""type"": ""DOUBLE""
            },
            {
                ""name"": ""r_throttle"",
                ""type"": ""DOUBLE""
            },
            {
                ""name"": ""n1_match_bug"",
                ""type"": ""BOOL""
            },
            {
                ""name"": ""e1_n1_percent"",
                ""type"": ""DOUBLE""
            },
            {
                ""name"": ""e2_n1_percent"",
                ""type"": ""DOUBLE""
            },
            {
                ""name"": ""slip"",
                ""type"": ""DOUBLE""
            },
            {
                ""name"": ""engine_fire_l"",
                ""type"": ""BOOL""
            },
            {
                ""name"": ""engine_fire_r"",
                ""type"": ""BOOL""
            },
            {
                ""name"": ""pax_safety"",
                ""type"": ""INTEGER""
            },
            {
                ""name"": ""master_warning"",
                ""type"": ""BOOL""
            },
            {
                ""name"": ""master_caution"",
                ""type"": ""BOOL""
            },
            {
                ""name"": ""flight_director"",
                ""type"": ""INTEGER""
            },
            {
                ""name"": ""speed_mode"",
                ""type"": ""INTEGER""
            },
            {
                ""name"": ""heading_mode"",
                ""type"": ""INTEGER""
            },
            {
                ""name"": ""fuel_boost_l"",
                ""type"": ""INTEGER""
            },
            {
                ""name"": ""fuel_boost_r"",
                ""type"": ""INTEGER""
            },
            {
                ""name"": ""test_knob"",
                ""type"": ""INTEGER""
            },
            {
                ""name"": ""autopilot_heading_set"",
                ""type"": ""INTEGER""
            },
            {
                ""name"": ""yaw_damper"",
                ""type"": ""BOOL""
            },
            {
                ""name"": ""l_ign_switch"",
                ""type"": ""BOOL""
            },
            {
                ""name"": ""r_ign_switch"",
                ""type"": ""BOOL""
            },
            {
                ""name"": ""l_gen_switch"",
                ""type"": ""INTEGER""
            },
            {
                ""name"": ""r_gen_switch"",
                ""type"": ""INTEGER""
            },
            {
                ""name"": ""transfer_knob"",
                ""type"": ""INTEGER""
            },
            {
                ""name"": ""baro_setting"",
                ""type"": ""DOUBLE""
            },
            {
                ""name"": ""cabin_altitude"",
                ""type"": ""DOUBLE""
            },
            {
                ""name"": ""l_gen_load"",
                ""type"": ""DOUBLE""
            },
            {
                ""name"": ""r_gen_load"",
                ""type"": ""DOUBLE""
            },
            {
                ""name"": ""pitot_heat"",
                ""type"": ""BOOL""
            },
            {
                ""name"": ""l_engine_anti_ice"",
                ""type"": ""BOOL""
            },
            {
                ""name"": ""r_engine_anti_ice"",
                ""type"": ""BOOL""
            },
            {
                ""name"": ""l_windshield_anti_ice"",
                ""type"": ""BOOL""
            },
            {
                ""name"": ""r_windshield_anti_ice"",
                ""type"": ""BOOL""
            },
            {
                ""name"": ""exterior_lights"",
                ""type"": ""INTEGER""
            },
            {
                ""name"": ""anti_coll_lights"",
                ""type"": ""BOOL""
            },
            {
                ""name"": ""trim_rudder"",
                ""type"": ""DOUBLE""
            },
            {
                ""name"": ""alt_sel"",
                ""type"": ""INTEGER""
            },
            {
                ""name"": ""heading_sel"",
                ""type"": ""INTEGER""
            },
            {
                ""name"": ""l_bottle_arm"",
                ""type"": ""BOOL""
            },
            {
                ""name"": ""r_bottle_arm"",
                ""type"": ""BOOL""
            },
            {
                ""name"": ""ptt"",
                ""type"": ""BOOL""
            },
            {
                ""name"": ""yoke_hide"",
                ""type"": ""BOOL""
            }
        ],
        ""attributes"": [

        ],
        ""services"": [

        ]
    }
}
"
244499a8-fb01-11f0-811c-379d01a2fc14;1769482277.048;ATC_Agent;DEFINITION;17;;"{
    ""definition"": {
        ""name"": ""ATC_Agent"",
        ""class"": ""ATC_Agent"",
        ""version"": ""1.0"",
        ""inputs"": [
            {
                ""name"": ""Reset"",
                ""type"": ""IMPULSION""
            },
            {
                ""name"": ""request_ATIS"",
                ""type"": ""IMPULSION""
            },
            {
                ""name"": ""request_takeoff_clearance"",
                ""type"": ""IMPULSION""
            },
            {
                ""name"": ""declare_mayday"",
                ""type"": ""IMPULSION""
            },
            {
                ""name"": ""declare_panpan"",
                ""type"": ""IMPULSION""
            },
            {
                ""name"": ""request_vectors"",
                ""type"": ""IMPULSION""
            },
            {
                ""name"": ""custom_speech"",
                ""type"": ""STRING""
            }
        ],
        ""outputs"": [
            {
                ""name"": ""speech_output"",
                ""type"": ""STRING""
            },
            {
                ""name"": ""is_speaking"",
                ""type"": ""BOOL""
            }
        ],
        ""attributes"": [

        ],
        ""services"": [

        ]
    }
}
"
244499a9-fb01-11f0-811c-379d01a2fc14;1769482277.048;Shared Interface;DEFINITION;17;;"{
    ""definition"": {
        ""name"": ""Shared Interface"",
        ""class"": ""Shared Interface"",
        ""version"": ""1.0"",
        ""inputs"": [
            {
                ""name"": ""current_state"",
                ""type"": ""STRING""
            },
            {
                ""name"": ""next_state"",
                ""type"": ""STRING""
            },
            {
                ""name"": ""previous_state"",
                ""type"": ""STRING""
            },
            {
                ""name"": ""countdown_current"",
                ""type"": ""INTEGER""
            },
            {
                ""name"": ""countdown_next"",
                ""type"": ""INTEGER""
            },
            {
                ""name"": ""countdown_max_current"",
                ""type"": ""INTEGER""
            },
            {
                ""name"": ""countdown_max_next"",
                ""type"": ""INTEGER""
            },
            {
                ""name"": ""alert"",
                ""type"": ""STRING""
            },
            {
                ""name"": ""alert_clear"",
                ""type"": ""IMPULSION""
            },
            {
                ""name"": ""condition_violated"",
                ""type"": ""STRING""
            },
            {
                ""name"": ""condition_restored"",
                ""type"": ""STRING""
            },
            {
                ""name"": ""tts_speaking"",
                ""type"": ""BOOL""
            },
            {
                ""name"": ""tts_text"",
                ""type"": ""STRING""
            },
            {
                ""name"": ""action_about_to_fire"",
                ""type"": ""STRING""
            },
            {
                ""name"": ""checklist_item_complete"",
                ""type"": ""STRING""
            },
            {
                ""name"": ""emergency_procedure_inject"",
                ""type"": ""STRING""
            },
            {
                ""name"": ""interaction_message"",
                ""type"": ""STRING""
            }
        ],
        ""outputs"": [
            {
                ""name"": ""task_approval"",
                ""type"": ""BOOL""
            },
            {
                ""name"": ""task_acknowledged"",
                ""type"": ""IMPULSION""
            },
            {
                ""name"": ""task_cancelled"",
                ""type"": ""IMPULSION""
            },
            {
                ""name"": ""task_override"",
                ""type"": ""IMPULSION""
            },
            {
                ""name"": ""start_procedure"",
                ""type"": ""IMPULSION""
            },
            {
                ""name"": ""stop_procedure"",
                ""type"": ""IMPULSION""
            },
            {
                ""name"": ""emergency_inject"",
                ""type"": ""STRING""
            },
            {
                ""name"": ""force_state_jump"",
                ""type"": ""STRING""
            },
            {
                ""name"": ""countdown_complete"",
                ""type"": ""IMPULSION""
            },
            {
                ""name"": ""next_step"",
                ""type"": ""IMPULSION""
            },
            {
                ""name"": ""previous_step"",
                ""type"": ""IMPULSION""
            }
        ],
        ""attributes"": [

        ],
        ""services"": [

        ]
    }
}
"
