ClockTime(s)_UtilizationValuesFrom:	Vision_Module	Audio_Module	Perceptual_SubNetwork	Production_Module	Declarative_Module	Imaginary_Module	Cognitive_SubNetwork	Motor_Module	Speech_Module	Motor_SubNetwork	Overall_Utilization
0.5	0.0	0.0	0.0	0.05	0.0	0.0	0.016666666666666666	0.95	0.0	0.475	0.1638888888888889
1.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.5	0.16666666666666666
2.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.5	0.16666666666666666
3.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.5	0.16666666666666666
4.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.5	0.16666666666666666
5.5	0.08499999999999996	0.4499999999999993	0.2674999999999996	0.3000000000000016	0.01499999999999968	0.39999999999999947	0.2383333333333336	0.04999999999999982	0.0	0.02499999999999991	0.17694444444444438
6.5	0.0	0.0	0.0	0.01499999999999968	0.9850000000000003	0.0	0.3333333333333333	0.0	0.0	0.0	0.1111111111111111
7.5	0.34000000000000075	0.3000000000000007	0.32000000000000073	0.7350000000000003	0.0	0.14499999999999957	0.2933333333333333	0.0	0.0	0.0	0.20444444444444465
8.5	0.0	0.4999999999999982	0.2499999999999991	0.24500000000000277	0.0	0.254999999999999	0.16666666666666727	0.0	0.0	0.0	0.1388888888888888
9.5	0.16999999999999993	0.0	0.08499999999999996	0.3550000000000022	0.0	0.5599999999999987	0.3050000000000003	0.0	0.0	0.0	0.1300000000000001
10.5	0.16999999999999815	0.7599999999999998	0.46499999999999897	0.29999999999999893	0.0	0.2400000000000002	0.17999999999999972	0.0	0.0	0.0	0.21499999999999955
11.5	0.08500000000000085	0.14000000000000057	0.11250000000000071	0.29999999999999893	0.0	0.47499999999999964	0.25833333333333286	0.0	0.0	0.0	0.12361111111111119
12.5	0.2550000000000008	0.3000000000000007	0.27750000000000075	0.6400000000000006	0.0	0.3249999999999993	0.3216666666666666	0.0	0.0	0.0	0.19972222222222244
13.5	0.0	0.7999999999999989	0.39999999999999947	0.11000000000000121	0.0	0.08999999999999986	0.06666666666666703	0.0	0.0	0.0	0.1555555555555555
14.5	0.254999999999999	0.0	0.1274999999999995	0.6500000000000004	0.0	0.34999999999999964	0.3333333333333333	0.0	0.0	0.0	0.15361111111111095
15.5	0.08500000000000085	0.4900000000000002	0.28750000000000053	0.2500000000000018	0.0	0.5599999999999987	0.2700000000000002	0.0	0.0	0.0	0.1858333333333336
16.5	0.0	0.6600000000000001	0.33000000000000007	0.14000000000000057	0.0	0.1999999999999993	0.11333333333333329	0.0	0.0	0.0	0.14777777777777779
17.5	0.16999999999999815	0.1999999999999993	0.18499999999999872	0.3150000000000013	0.0	0.5999999999999979	0.3049999999999997	0.0	0.0	0.0	0.1633333333333328
18.5	0.0849999999999973	0.7000000000000028	0.39250000000000007	0.3949999999999996	0.0	0.004999999999999005	0.13333333333333286	0.0	0.0	0.0	0.17527777777777764
19.5	0.3249999999999993	0.0	0.16249999999999964	0.75	0.0	0.21499999999999986	0.3216666666666666	0.0	0.0	0.0	0.16138888888888875
20.5	0.18499999999999872	0.0	0.09249999999999936	0.34999999999999787	0.0	0.5800000000000018	0.3099999999999999	0.4200000000000017	0.0	0.21000000000000085	0.2041666666666667
21.5	0.0	0.0	0.0	0.05000000000000071	0.0	0.0	0.016666666666666902	0.9499999999999993	0.0	0.47499999999999964	0.16388888888888883
22.5	0.07000000000000028	0.0	0.03500000000000014	0.15000000000000213	0.0	0.019999999999999574	0.05666666666666723	0.8299999999999983	0.0	0.41499999999999915	0.16888888888888884
23.5	0.09999999999999787	0.0	0.049999999999998934	0.3499999999999943	0.0	0.5000000000000036	0.2833333333333326	0.15000000000000213	0.1700000000000017	0.16000000000000192	0.16444444444444448
24.5	0.1700000000000017	0.29999999999999716	0.23499999999999943	0.3500000000000014	0.0	0.5649999999999977	0.3049999999999997	0.0	0.030000000000001137	0.015000000000000568	0.18499999999999991
25.5	0.08500000000000085	0.7850000000000001	0.4350000000000005	0.20000000000000284	0.0	0.3149999999999977	0.17166666666666686	0.0	0.0	0.0	0.20222222222222244
26.5	0.0	1.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16666666666666666
27.5	0.0	1.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16666666666666666
28.5	0.0	1.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16666666666666666
29.5	0.0	1.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16666666666666666
30.5	0.0	1.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16666666666666666
31.5	0.0	1.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16666666666666666
32.5	0.08499999999999375	0.06499999999999773	0.07499999999999574	0.3000000000000185	0.0	0.54999999999999	0.28333333333333616	0.0	0.0	0.0	0.11944444444444396
33.5	0.25500000000000256	0.0	0.12750000000000128	0.7150000000000105	0.0	0.2499999999999929	0.3216666666666678	0.0	0.0	0.0	0.14972222222222303
34.5	0.2700000000000031	0.0	0.13500000000000156	0.5999999999999943	0.0	0.4000000000000057	0.3333333333333333	0.11500000000000199	0.0	0.057500000000000995	0.17527777777777862
35.5	0.07000000000000028	0.0	0.03500000000000014	0.04999999999999716	0.0	0.20000000000000284	0.08333333333333333	0.9849999999999994	0.0	0.4924999999999997	0.20361111111111108
36.5	0.0	0.0	0.0	0.03499999999999659	0.0	0.0	0.01166666666666553	0.9650000000000034	0.0	0.4825000000000017	0.1647222222222224
37.5	0.1700000000000017	0.0	0.08500000000000085	0.3999999999999986	0.0	0.4000000000000057	0.2666666666666681	0.19999999999999574	0.0	0.09999999999999787	0.1505555555555556
38.5	0.08500000000000085	0.3999999999999986	0.24249999999999972	0.25	0.0	0.19999999999999574	0.14999999999999858	0.08500000000000085	0.20000000000000284	0.14250000000000185	0.17833333333333337
39.5	0.015000000000000568	0.0	0.007500000000000284	0.19999999999999574	0.0	0.20000000000000284	0.13333333333333286	0.0	0.0	0.0	0.04694444444444438
40.5	0.15500000000000114	0.0	0.07750000000000057	0.3299999999999912	0.0	0.6000000000000085	0.3099999999999999	0.0	0.0	0.0	0.12916666666666682
41.5	0.3400000000000034	0.0	0.1700000000000017	0.769999999999996	0.0	0.19500000000000028	0.32166666666666544	0.0	0.0	0.0	0.16388888888888906
42.5	0.0	0.0	0.0	0.09999999999999432	0.0	0.005000000000002558	0.034999999999998956	0.8950000000000031	0.0	0.44750000000000156	0.16083333333333352
43.5	0.1700000000000017	0.0	0.08500000000000085	0.3499999999999943	0.0	0.4450000000000074	0.26500000000000057	0.2049999999999983	0.0	0.10249999999999915	0.1508333333333335
44.5	0.14500000000000313	0.0	0.07250000000000156	0.3499999999999943	0.0	0.5650000000000048	0.3049999999999997	0.0	0.0	0.0	0.12583333333333377
45.5	0.19500000000000028	0.0	0.09750000000000014	0.32500000000000284	0.0	0.5899999999999963	0.3049999999999997	0.0	0.0	0.0	0.13416666666666663
46.5	0.1699999999999946	0.0	0.0849999999999973	0.3999999999999986	0.0	0.6000000000000014	0.3333333333333333	0.0	0.0	0.0	0.13944444444444354
47.5	0.25500000000000256	0.0	0.12750000000000128	0.375	0.0	0.5399999999999991	0.3049999999999997	0.0	0.0	0.0	0.144166666666667
48.5	0.1700000000000017	0.0	0.08500000000000085	0.5050000000000026	0.0	0.46000000000000085	0.3216666666666678	0.0	0.0	0.0	0.13555555555555623
