Task_Object,Task_Value,FSM_Duration_s,Human_Active_Time_s,TARS_Execution_Time_s,Active_Duration_s,Coordination_Time_s
Takeoff clearance,CONFIRM,0.051000,10.114000,0.720000,10.834000,0.000000
Pitot-Static Switch,PITOT-STATIC,2.060000,21.737000,2000.540000,2022.277000,0.000000
ENGINE ANTI-ICE Switches,AS REQUIRED,7.998000,12.973000,0.180000,13.153000,0.903000
WINDSHIELD ANTI-ICE Switches,AS REQUIRED,15.750000,3.207000,0.160000,3.367000,0.954000
PAX SAFETY Switch,PAX SAFETY,0.048000,6.108000,0.340000,6.448000,0.000000
LANDING Light Switch,AS DESIRED,10.831000,1.853000,0.170000,2.023000,1.002000
ANTI-COLL Light Switch,ON,6.219000,2.906000,0.320000,3.226000,0.501000
EICAS,CHECKED,3.999000,0.000000,0.030000,0.030000,0.751000
Winds,CHECK,4.257000,0.000000,0.170000,0.170000,0.802000
Select Altitude,PRESET AS CLEARED,0.052000,0.000000,0.480000,0.480000,0.000000
