ClockTime(s)_UtilizationValuesFrom:	Vision_Module	Audio_Module	Perceptual_SubNetwork	Production_Module	Declarative_Module	Imaginary_Module	Cognitive_SubNetwork	Motor_Module	Speech_Module	Motor_SubNetwork	Overall_Utilization
0.5	0.0	0.0	0.0	0.05	0.0	0.0	0.016666666666666666	0.95	0.0	0.475	0.1638888888888889
1.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.5	0.16666666666666666
2.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.5	0.16666666666666666
3.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.5	0.16666666666666666
4.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.5	0.16666666666666666
5.5	0.08499999999999996	0.4499999999999993	0.2674999999999996	0.3000000000000016	0.01499999999999968	0.39999999999999947	0.2383333333333336	0.04999999999999982	0.0	0.02499999999999991	0.17694444444444438
6.5	0.0	0.0	0.0	0.01499999999999968	0.9850000000000003	0.0	0.3333333333333333	0.0	0.0	0.0	0.1111111111111111
7.5	0.08499999999999996	0.3150000000000004	0.20000000000000018	0.3849999999999998	0.0	0.6000000000000005	0.3283333333333334	0.0	0.0	0.0	0.1761111111111112
8.5	0.0	0.6999999999999993	0.34999999999999964	0.10000000000000142	0.0	0.1999999999999993	0.10000000000000024	0.0	0.0	0.0	0.14999999999999997
9.5	0.0	0.48499999999999943	0.24249999999999972	0.15000000000000213	0.0	0.36499999999999844	0.17166666666666686	0.0	0.0	0.0	0.13805555555555551
10.5	0.08500000000000085	0.6649999999999991	0.375	0.40000000000000036	0.0	0.23499999999999943	0.2116666666666666	0.0	0.0	0.0	0.1955555555555555
11.5	0.16999999999999993	0.23499999999999943	0.20249999999999968	0.5300000000000011	0.46499999999999986	0.1999999999999993	0.39833333333333343	0.0	0.0	0.0	0.2002777777777777
12.5	0.2550000000000008	0.3000000000000007	0.27750000000000075	0.5999999999999996	0.5350000000000001	0.40000000000000036	0.5116666666666667	0.0	0.0	0.0	0.2630555555555558
13.5	0.08500000000000085	0.7999999999999989	0.4424999999999999	0.120000000000001	0.0	0.08000000000000007	0.06666666666666703	0.0	0.0	0.0	0.1697222222222223
14.5	0.1700000000000017	0.0	0.08500000000000085	0.40000000000000213	0.8300000000000001	0.5999999999999979	0.61	0.0	0.0	0.0	0.23166666666666694
15.5	0.16999999999999993	0.3000000000000007	0.23500000000000032	0.3500000000000032	0.16999999999999993	0.5649999999999977	0.36166666666666697	0.0	0.0	0.0	0.19888888888888911
16.5	0.0	0.6449999999999996	0.3224999999999998	0.1999999999999993	0.0	0.15500000000000114	0.11833333333333347	0.0	0.0	0.0	0.1469444444444444
17.5	0.18000000000000327	0.4049999999999976	0.2925000000000004	0.5600000000000023	0.495000000000001	0.1999999999999993	0.41833333333333417	0.0	0.0	0.0	0.23694444444444485
18.5	0.33000000000000185	0.10000000000000142	0.21500000000000163	0.5400000000000027	0.504999999999999	0.4599999999999973	0.5016666666666664	0.21000000000000085	0.0	0.10500000000000043	0.27388888888888946
19.5	0.0	0.5999999999999979	0.29999999999999893	0.10000000000000142	0.0	0.3000000000000007	0.13333333333333405	0.8900000000000006	0.0	0.4450000000000003	0.29277777777777775
20.5	0.0849999999999973	0.0	0.04249999999999865	0.24999999999999645	0.9100000000000001	0.240000000000002	0.4666666666666662	0.5100000000000016	0.0	0.2550000000000008	0.25472222222222185
21.5	0.0849999999999973	0.0	0.04249999999999865	0.2099999999999973	0.08999999999999986	0.20000000000000284	0.16666666666666666	0.5899999999999999	0.0	0.29499999999999993	0.16805555555555507
22.5	0.14499999999999957	0.21000000000000085	0.1775000000000002	0.3900000000000041	0.0	0.3999999999999986	0.26333333333333425	0.14999999999999858	0.1999999999999993	0.17499999999999893	0.2052777777777778
23.5	0.10999999999999943	0.08999999999999986	0.09999999999999964	0.37500000000000355	0.0	0.5999999999999979	0.32500000000000046	0.0	0.0	0.0	0.1416666666666667
24.5	0.33999999999999986	0.0	0.16999999999999993	0.7650000000000006	0.0	0.1999999999999993	0.3216666666666666	0.0	0.0	0.0	0.16388888888888883
25.5	0.16999999999999815	0.5899999999999999	0.379999999999999	0.3099999999999987	0.0	0.40000000000000213	0.23666666666666694	0.6900000000000013	0.0	0.34500000000000064	0.32055555555555554
26.5	0.0	1.0	0.5	0.0	0.0	0.0	0.0	0.41000000000000014	0.0	0.20500000000000007	0.23500000000000001
27.5	0.0	1.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16666666666666666
28.5	0.0	1.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16666666666666666
29.5	0.0	1.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16666666666666666
30.5	0.0	1.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16666666666666666
31.5	0.0	1.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16666666666666666
32.5	0.08500000000000085	0.259999999999998	0.17249999999999943	0.30000000000001137	0.0	0.3999999999999915	0.23333333333333428	0.03999999999999915	0.0	0.019999999999999574	0.14194444444444443
33.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.5	0.16666666666666666
34.5	0.1700000000000017	0.0	0.08500000000000085	0.4000000000000057	0.0	0.3999999999999915	0.2666666666666657	0.20000000000000284	0.0	0.10000000000000142	0.150555555555556
35.5	0.08500000000000085	0.3999999999999986	0.24249999999999972	0.25	0.0	0.20000000000000284	0.15000000000000094	0.00999999999999801	0.19999999999999574	0.10499999999999687	0.1658333333333325
36.5	0.08500000000000085	0.0	0.042500000000000426	0.2499999999999929	0.0	0.2050000000000054	0.1516666666666661	0.0	0.0	0.0	0.06472222222222217
37.5	0.08500000000000085	0.0	0.042500000000000426	0.40499999999999403	0.0	0.595000000000006	0.3333333333333333	0.0	0.0	0.0	0.1252777777777779
38.5	0.3400000000000034	0.0	0.1700000000000017	0.7649999999999935	0.0	0.20000000000000284	0.32166666666666544	0.0	0.0	0.0	0.16388888888888906
39.5	0.19000000000000483	0.0	0.09500000000000242	0.37999999999998835	0.0	0.6000000000000085	0.3266666666666656	0.0	0.0	0.0	0.14055555555555602
40.5	0.14999999999999858	0.0	0.07499999999999929	0.33500000000001506	0.0	0.5999999999999872	0.3116666666666674	0.0	0.0	0.0	0.12888888888888891
41.5	0.3400000000000034	0.0	0.1700000000000017	0.8150000000000048	0.0	0.14999999999999858	0.3216666666666678	0.0	0.0	0.0	0.16388888888888983
42.5	0.0	0.0	0.0	0.05000000000000426	0.0	0.04999999999999716	0.033333333333333805	0.8999999999999986	0.0	0.4499999999999993	0.16111111111111104
43.5	0.1700000000000017	0.0	0.08500000000000085	0.4000000000000057	0.0	0.3999999999999915	0.2666666666666657	0.20000000000000284	0.0	0.10000000000000142	0.150555555555556
44.5	0.08500000000000085	0.3999999999999986	0.24249999999999972	0.25	0.0	0.20000000000000284	0.15000000000000094	0.14999999999999858	0.19999999999999574	0.17499999999999716	0.18916666666666593
45.5	0.0	0.0	0.0	0.05000000000000426	0.0	0.04999999999999716	0.033333333333333805	0.0	0.0	0.0	0.011111111111111268
46.5	0.10000000000000142	0.0	0.05000000000000071	0.3650000000000091	0.0	0.54999999999999	0.3049999999999997	0.0	0.0	0.0	0.11833333333333347
47.5	0.32500000000000284	0.0	0.16250000000000142	0.7649999999999935	0.0	0.20000000000000284	0.32166666666666544	0.0	0.0	0.0	0.16138888888888894
