uuid;timestamp;agent;source;type;igs_timestamp;value
37179930-fa4b-11f0-8e0a-b57ebb261da8;1769404140.222;SNAPSHOT;SNAPSHOT_BEGIN;0;;
37179931-fa4b-11f0-8e0a-b57ebb261da8;1769404140.222;Proxy;ENTERED;15;;9C7C80A644E8C62B7EE323D15F79F2A7
37179932-fa4b-11f0-8e0a-b57ebb261da8;1769404140.222;Shared Interface;ENTERED;15;;CCA4CC25C1383B4F88C9A5F83ACED6C5
37179933-fa4b-11f0-8e0a-b57ebb261da8;1769404140.222;Aircraft;ENTERED;15;;8D038805C4094B49B301B9C389388D8D
37179934-fa4b-11f0-8e0a-b57ebb261da8;1769404140.222;TTS_Agent;ENTERED;15;;AB680439A89C184AB3AB03C18BC19801
37179935-fa4b-11f0-8e0a-b57ebb261da8;1769404140.222;ATC_Agent;ENTERED;15;;36F82BCEEEE55A4AB17BA65F9DB2BB85
37179936-fa4b-11f0-8e0a-b57ebb261da8;1769404140.222;TARS Agent;ENTERED;15;;7CDEDFB8513950459B0E9ED42725C60F
37179937-fa4b-11f0-8e0a-b57ebb261da8;1769404140.222;Aircraft;DEFINITION;17;;"{
    ""definition"": {
        ""name"": ""Aircraft"",
        ""class"": ""Aircraft"",
        ""version"": ""1.0"",
        ""inputs"": [
            {
                ""name"": ""reset"",
                ""type"": ""IMPULSION""
            },
            {
                ""name"": ""elevator"",
                ""type"": ""DOUBLE""
            },
            {
                ""name"": ""rudder"",
                ""type"": ""DOUBLE""
            },
            {
                ""name"": ""aileron"",
                ""type"": ""DOUBLE""
            },
            {
                ""name"": ""throttle"",
                ""type"": ""DOUBLE""
            },
            {
                ""name"": ""flaps"",
                ""type"": ""DOUBLE""
            },
            {
                ""name"": ""gear"",
                ""type"": ""IMPULSION""
            },
            {
                ""name"": ""brake"",
                ""type"": ""IMPULSION""
            },
            {
                ""name"": ""l_throttle"",
                ""type"": ""DOUBLE""
            },
            {
                ""name"": ""r_throttle"",
                ""type"": ""DOUBLE""
            },
            {
                ""name"": ""pax_safety"",
                ""type"": ""INTEGER""
            },
            {
                ""name"": ""flight_director"",
                ""type"": ""IMPULSION""
            },
            {
                ""name"": ""speed_mode"",
                ""type"": ""IMPULSION""
            },
            {
                ""name"": ""alt_sel"",
                ""type"": ""INTEGER""
            },
            {
                ""name"": ""heading_mode"",
                ""type"": ""IMPULSION""
            },
            {
                ""name"": ""heading_sel"",
                ""type"": ""INTEGER""
            },
            {
                ""name"": ""autopilot_master"",
                ""type"": ""IMPULSION""
            },
            {
                ""name"": ""fuel_boost_l"",
                ""type"": ""INTEGER""
            },
            {
                ""name"": ""fuel_boost_r"",
                ""type"": ""INTEGER""
            },
            {
                ""name"": ""test_knob"",
                ""type"": ""INTEGER""
            },
            {
                ""name"": ""autopilot_heading_set"",
                ""type"": ""INTEGER""
            },
            {
                ""name"": ""yaw_damper"",
                ""type"": ""BOOL""
            },
            {
                ""name"": ""l_ign_switch"",
                ""type"": ""BOOL""
            },
            {
                ""name"": ""r_ign_switch"",
                ""type"": ""BOOL""
            },
            {
                ""name"": ""l_gen_switch"",
                ""type"": ""INTEGER""
            },
            {
                ""name"": ""r_gen_switch"",
                ""type"": ""INTEGER""
            },
            {
                ""name"": ""transfer_knob"",
                ""type"": ""INTEGER""
            },
            {
                ""name"": ""bird_strike"",
                ""type"": ""IMPULSION""
            },
            {
                ""name"": ""baro_setting"",
                ""type"": ""DOUBLE""
            },
            {
                ""name"": ""pitot_heat"",
                ""type"": ""BOOL""
            },
            {
                ""name"": ""l_engine_anti_ice"",
                ""type"": ""BOOL""
            },
            {
                ""name"": ""r_engine_anti_ice"",
                ""type"": ""BOOL""
            },
            {
                ""name"": ""l_windshield_anti_ice"",
                ""type"": ""BOOL""
            },
            {
                ""name"": ""r_windshield_anti_ice"",
                ""type"": ""BOOL""
            },
            {
                ""name"": ""exterior_lights"",
                ""type"": ""INTEGER""
            },
            {
                ""name"": ""anti_coll_lights"",
                ""type"": ""BOOL""
            },
            {
                ""name"": ""trim_rudder"",
                ""type"": ""DOUBLE""
            },
            {
                ""name"": ""l_bottle_arm"",
                ""type"": ""BOOL""
            },
            {
                ""name"": ""r_bottle_arm"",
                ""type"": ""BOOL""
            },
            {
                ""name"": ""yoke_hide"",
                ""type"": ""BOOL""
            }
        ],
        ""outputs"": [
            {
                ""name"": ""airspeed"",
                ""type"": ""DOUBLE""
            },
            {
                ""name"": ""pitch"",
                ""type"": ""DOUBLE""
            },
            {
                ""name"": ""controlPitch"",
                ""type"": ""DOUBLE""
            },
            {
                ""name"": ""roll"",
                ""type"": ""DOUBLE""
            },
            {
                ""name"": ""controlRoll"",
                ""type"": ""DOUBLE""
            },
            {
                ""name"": ""heading"",
                ""type"": ""DOUBLE""
            },
            {
                ""name"": ""controlYaw"",
                ""type"": ""DOUBLE""
            },
            {
                ""name"": ""verticalSpeed"",
                ""type"": ""DOUBLE""
            },
            {
                ""name"": ""altitude"",
                ""type"": ""DOUBLE""
            },
            {
                ""name"": ""latitude"",
                ""type"": ""DOUBLE""
            },
            {
                ""name"": ""longitude"",
                ""type"": ""DOUBLE""
            },
            {
                ""name"": ""controlThrottle"",
                ""type"": ""DOUBLE""
            },
            {
                ""name"": ""controlFlaps"",
                ""type"": ""DOUBLE""
            },
            {
                ""name"": ""controlGear"",
                ""type"": ""DOUBLE""
            },
            {
                ""name"": ""speedBrakes"",
                ""type"": ""DOUBLE""
            },
            {
                ""name"": ""outsideEvent"",
                ""type"": ""STRING""
            },
            {
                ""name"": ""parkBrake"",
                ""type"": ""BOOL""
            },
            {
                ""name"": ""l_throttle"",
                ""type"": ""DOUBLE""
            },
            {
                ""name"": ""r_throttle"",
                ""type"": ""DOUBLE""
            },
            {
                ""name"": ""n1_match_bug"",
                ""type"": ""BOOL""
            },
            {
                ""name"": ""e1_n1_percent"",
                ""type"": ""DOUBLE""
            },
            {
                ""name"": ""e2_n1_percent"",
                ""type"": ""DOUBLE""
            },
            {
                ""name"": ""slip"",
                ""type"": ""DOUBLE""
            },
            {
                ""name"": ""engine_fire_l"",
                ""type"": ""BOOL""
            },
            {
                ""name"": ""engine_fire_r"",
                ""type"": ""BOOL""
            },
            {
                ""name"": ""pax_safety"",
                ""type"": ""INTEGER""
            },
            {
                ""name"": ""master_warning"",
                ""type"": ""BOOL""
            },
            {
                ""name"": ""master_caution"",
                ""type"": ""BOOL""
            },
            {
                ""name"": ""flight_director"",
                ""type"": ""INTEGER""
            },
            {
                ""name"": ""speed_mode"",
                ""type"": ""INTEGER""
            },
            {
                ""name"": ""heading_mode"",
                ""type"": ""INTEGER""
            },
            {
                ""name"": ""fuel_boost_l"",
                ""type"": ""INTEGER""
            },
            {
                ""name"": ""fuel_boost_r"",
                ""type"": ""INTEGER""
            },
            {
                ""name"": ""test_knob"",
                ""type"": ""INTEGER""
            },
            {
                ""name"": ""autopilot_heading_set"",
                ""type"": ""INTEGER""
            },
            {
                ""name"": ""yaw_damper"",
                ""type"": ""BOOL""
            },
            {
                ""name"": ""l_ign_switch"",
                ""type"": ""BOOL""
            },
            {
                ""name"": ""r_ign_switch"",
                ""type"": ""BOOL""
            },
            {
                ""name"": ""l_gen_switch"",
                ""type"": ""INTEGER""
            },
            {
                ""name"": ""r_gen_switch"",
                ""type"": ""INTEGER""
            },
            {
                ""name"": ""transfer_knob"",
                ""type"": ""INTEGER""
            },
            {
                ""name"": ""baro_setting"",
                ""type"": ""DOUBLE""
            },
            {
                ""name"": ""cabin_altitude"",
                ""type"": ""DOUBLE""
            },
            {
                ""name"": ""l_gen_load"",
                ""type"": ""DOUBLE""
            },
            {
                ""name"": ""r_gen_load"",
                ""type"": ""DOUBLE""
            },
            {
                ""name"": ""pitot_heat"",
                ""type"": ""BOOL""
            },
            {
                ""name"": ""l_engine_anti_ice"",
                ""type"": ""BOOL""
            },
            {
                ""name"": ""r_engine_anti_ice"",
                ""type"": ""BOOL""
            },
            {
                ""name"": ""l_windshield_anti_ice"",
                ""type"": ""BOOL""
            },
            {
                ""name"": ""r_windshield_anti_ice"",
                ""type"": ""BOOL""
            },
            {
                ""name"": ""exterior_lights"",
                ""type"": ""INTEGER""
            },
            {
                ""name"": ""anti_coll_lights"",
                ""type"": ""BOOL""
            },
            {
                ""name"": ""trim_rudder"",
                ""type"": ""DOUBLE""
            },
            {
                ""name"": ""alt_sel"",
                ""type"": ""INTEGER""
            },
            {
                ""name"": ""heading_sel"",
                ""type"": ""INTEGER""
            },
            {
                ""name"": ""l_bottle_arm"",
                ""type"": ""BOOL""
            },
            {
                ""name"": ""r_bottle_arm"",
                ""type"": ""BOOL""
            },
            {
                ""name"": ""ptt"",
                ""type"": ""BOOL""
            },
            {
                ""name"": ""yoke_hide"",
                ""type"": ""BOOL""
            }
        ],
        ""attributes"": [

        ],
        ""services"": [

        ]
    }
}
"
37179938-fa4b-11f0-8e0a-b57ebb261da8;1769404140.222;ATC_Agent;DEFINITION;17;;"{
    ""definition"": {
        ""name"": ""ATC_Agent"",
        ""class"": ""ATC_Agent"",
        ""version"": ""1.0"",
        ""inputs"": [
            {
                ""name"": ""Reset"",
                ""type"": ""IMPULSION""
            },
            {
                ""name"": ""request_ATIS"",
                ""type"": ""IMPULSION""
            },
            {
                ""name"": ""request_takeoff_clearance"",
                ""type"": ""IMPULSION""
            },
            {
                ""name"": ""declare_mayday"",
                ""type"": ""IMPULSION""
            },
            {
                ""name"": ""declare_panpan"",
                ""type"": ""IMPULSION""
            },
            {
                ""name"": ""request_vectors"",
                ""type"": ""IMPULSION""
            },
            {
                ""name"": ""custom_speech"",
                ""type"": ""STRING""
            }
        ],
        ""outputs"": [
            {
                ""name"": ""speech_output"",
                ""type"": ""STRING""
            },
            {
                ""name"": ""is_speaking"",
                ""type"": ""BOOL""
            }
        ],
        ""attributes"": [

        ],
        ""services"": [

        ]
    }
}
"
37179939-fa4b-11f0-8e0a-b57ebb261da8;1769404140.222;Shared Interface;DEFINITION;17;;"{
    ""definition"": {
        ""name"": ""Shared Interface"",
        ""class"": ""Shared Interface"",
        ""version"": ""1.0"",
        ""inputs"": [
            {
                ""name"": ""current_state"",
                ""type"": ""STRING""
            },
            {
                ""name"": ""next_state"",
                ""type"": ""STRING""
            },
            {
                ""name"": ""previous_state"",
                ""type"": ""STRING""
            },
            {
                ""name"": ""countdown_current"",
                ""type"": ""INTEGER""
            },
            {
                ""name"": ""countdown_next"",
                ""type"": ""INTEGER""
            },
            {
                ""name"": ""countdown_max_current"",
                ""type"": ""INTEGER""
            },
            {
                ""name"": ""countdown_max_next"",
                ""type"": ""INTEGER""
            },
            {
                ""name"": ""alert"",
                ""type"": ""STRING""
            },
            {
                ""name"": ""alert_clear"",
                ""type"": ""IMPULSION""
            },
            {
                ""name"": ""condition_violated"",
                ""type"": ""STRING""
            },
            {
                ""name"": ""condition_restored"",
                ""type"": ""STRING""
            },
            {
                ""name"": ""tts_speaking"",
                ""type"": ""BOOL""
            },
            {
                ""name"": ""tts_text"",
                ""type"": ""STRING""
            },
            {
                ""name"": ""action_about_to_fire"",
                ""type"": ""STRING""
            },
            {
                ""name"": ""checklist_item_complete"",
                ""type"": ""STRING""
            },
            {
                ""name"": ""emergency_procedure_inject"",
                ""type"": ""STRING""
            },
            {
                ""name"": ""interaction_message"",
                ""type"": ""STRING""
            }
        ],
        ""outputs"": [
            {
                ""name"": ""task_approval"",
                ""type"": ""BOOL""
            },
            {
                ""name"": ""task_acknowledged"",
                ""type"": ""IMPULSION""
            },
            {
                ""name"": ""task_cancelled"",
                ""type"": ""IMPULSION""
            },
            {
                ""name"": ""task_override"",
                ""type"": ""IMPULSION""
            },
            {
                ""name"": ""start_procedure"",
                ""type"": ""IMPULSION""
            },
            {
                ""name"": ""stop_procedure"",
                ""type"": ""IMPULSION""
            },
            {
                ""name"": ""emergency_inject"",
                ""type"": ""STRING""
            },
            {
                ""name"": ""force_state_jump"",
                ""type"": ""STRING""
            },
            {
                ""name"": ""countdown_complete"",
                ""type"": ""IMPULSION""
            },
            {
                ""name"": ""next_step"",
                ""type"": ""IMPULSION""
            },
            {
                ""name"": ""previous_step"",
                ""type"": ""IMPULSION""
            }
        ],
        ""attributes"": [

        ],
        ""services"": [

        ]
    }
}
"
