Task_Object,Task_Value,FSM_Duration_s,Human_Active_Time_s,TARS_Execution_Time_s,Active_Duration_s,Coordination_Time_s
Takeoff clearance,CONFIRM,18.830000,18.854000,0.270000,19.124000,0.704000
Pitot-Static Switch,PITOT-STATIC,6.031000,1.903000,0.070000,1.973000,0.600000
ENGINE ANTI-ICE Switches,AS REQUIRED,5.970000,3.509000,0.030000,3.539000,0.655000
WINDSHIELD ANTI-ICE Switches,AS REQUIRED,6.321000,3.506000,0.030000,3.536000,0.752000
PAX SAFETY Switch,PAX SAFETY,4.654000,1.903000,0.030000,1.933000,0.651000
LANDING Light Switch,AS DESIRED,4.354000,2.957000,0.030000,2.987000,0.652000
ANTI-COLL Light Switch,ON,4.353000,3.007000,0.030000,3.037000,0.752000
EICAS,CHECKED,3.242000,1.852000,0.030000,1.882000,0.750000
Winds,CHECK,5.161000,2.754000,0.030000,2.784000,0.751000
Select Altitude,PRESET AS CLEARED,5.664000,4.285000,0.040000,4.325000,0.702000
